Model,Accuracy,Precision,Recall,F1-score
Decision Tree NumPy,0.7361538461538462,0.7870813397129187,0.7995139732685298,0.7932489451476793
Random Forest NumPy,0.7546153846153846,0.7745098039215687,0.8639125151883353,0.816771970132108
Decision Tree sklearn,0.7353846153846154,0.7868263473053893,0.7982989064398542,0.7925211097708083
Random Forest sklearn,0.7584615384615384,0.7781420765027323,0.8651275820170109,0.8193325661680092
